Time	R/W	B0	B1	B2	B3	B4	B5	B6	B7
21:36:11	R	0	31	8	64	73	45	13	90
21:36:13	W	7	79	9	78	29	88	22	42
21:36:21	W	1	45	9	31	47	70	8	45
21:36:24	W	4	50	13	96	1	73	12	92
21:36:34	R	0	38	11	51	80	51	85	22
21:36:40	R	0	81	56	26	78	2	12	55
21:36:50	W	3	48	4	42	82	3	5	11
21:36:53	W	9	58	91	65	65	77	70	13
21:36:54	W	8	35	35	82	33	7	68	92
21:36:58	W	7	77	52	85	26	31	52	87
21:37:04	W	2	42	20	36	57	44	76	29
21:37:11	W	1	14	25	79	24	55	13	91
21:37:17	W	7	79	84	41	24	7	79	98
21:37:23	W	9	29	91	7	61	91	13	18
21:37:29	W	8	91	43	14	19	96	66	40
21:37:36	R	0	42	73	5	29	77	82	1
21:37:40	W	1	67	61	96	16	26	1	37
21:37:47	W	9	39	72	19	19	97	40	79
21:37:56	W	9	50	30	49	17	25	1	48
21:38:05	R	0	1	14	22	81	93	11	88
21:38:05	W	1	1	84	52	54	62	73	15
21:38:13	W	7	30	27	38	31	25	88	71
21:38:21	R	0	31	10	31	28	79	36	12
21:38:29	R	0	50	48	20	53	59	62	45
21:38:33	W	9	83	20	88	16	65	93	40
21:38:43	R	0	24	95	12	41	87	19	26
21:38:52	W	5	0	45	67	43	93	55	50
21:39:00	W	9	26	22	95	95	98	91	9
21:39:01	W	5	71	53	15	87	99	14	2
21:39:02	W	10	13	13	39	9	98	43	59
21:39:05	W	1	30	57	20	19	25	86	34
21:39:08	R	0	7	94	54	50	84	23	5
21:39:11	W	4	5	1	34	87	91	62	62
21:39:16	R	0	63	27	61	89	37	30	28
21:39:21	R	0	67	33	15	62	85	91	68
21:39:22	W	2	44	90	49	16	72	92	4
21:39:27	R	0	97	8	87	59	80	13	49
21:39:33	R	0	90	59	27	69	84	53	59
21:39:42	W	1	80	87	89	84	42	36	90
21:39:45	W	9	49	13	91	3	90	14	58
21:39:51	W	7	24	71	73	15	51	23	83
21:39:58	W	10	59	41	37	76	58	45	10
21:39:58	R	0	5	71	60	9	15	88	11
21:39:58	W	5	99	68	18	41	25	92	47
21:40:02	R	0	76	27	81	27	15	5	20
21:40:10	W	5	92	67	98	19	20	12	20
21:40:13	R	0	94	24	77	88	44	37	4
21:40:19	R	0	59	100	17	67	83	10	47
21:40:23	W	8	69	72	71	97	49	68	28
21:40:31	W	5	25	24	43	88	40	99	67
